pid,volume,image_number,head,entry,topic,first_letter,xref,see,index,item,unparsed,line,full_image,order,thumbnail,full
alpha_57,Volume 1,447,,Darkness,Darkness,D,,,Darkness,#item-4008cee4b,,Entry: Darkness|Topic: Darkness|Xref: 1220|Index: Darkness|#item-4008cee4b,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg,57,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/388,3296,3038,565/full/0/default.jpg"
alpha_58,Volume 1,447,,Day,Day,D,,,Day,#item-e3053429e,,Entry: Day|Topic: Day|Xref: 1447|Index: Day|#item-e3053429e,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg,58,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/398,3824,3009,373/full/0/default.jpg"
alpha_59,Volume 1,447,,Dearth,Dearth,D,,,Dearth,#item-801e3b1cc,,Entry: Dearth|Topic: Dearth|Xref: 563|Index: Dearth|#item-801e3b1cc,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg,59,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/424,4160,2974,323/full/0/default.jpg"
alpha_60,Volume 1,447,,Death,Death,D,<a href='/New_Beehive/alpha1/alpha_13/'>Agony</a>|<a href='/New_Beehive/alpha3/alpha_432/'>Mortality</a>|507,,Death,#item-7e364ca49,,Entry: Death|Topic: Death|Xref: Agony|Xref: Mortality|Xref: 507|Index: Death|#item-7e364ca49,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/full/0/default.jpg,60,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0446/404,4444,3011,616/full/0/default.jpg"
alpha_61,Volume 1,448,,Debt,Debt,D,<a href='/New_Beehive/alpha4/alpha_510/'>Payment</a>|1352,,Debt,#item-30cd35c11,,Entry: Debt|Topic: Debt|Xref: Payment|Xref: 1352|Index: Debt|#item-30cd35c11,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,61,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/826,1211,2922,570/full/0/default.jpg"
alpha_62,Volume 1,448,,Dedication,Dedication,D,,,Dedication,#item-1fd55f37c,,Entry: Dedication|Topic: Dedication|Xref: 1348|Index: Dedication|#item-1fd55f37c,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,62,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/818,1725,2948,428/full/0/default.jpg"
alpha_63,Volume 1,448,,Deed,Deed,D,Works|1137,,deed,#item-76b2be726,,Entry: Deed|Topic: Deed|Xref: Works|Xref: 1137|Index: deed|#item-76b2be726,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,63,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/827,2064,2943,569/full/0/default.jpg"
alpha_64,Volume 1,448,,Deer,Deer,D,,,Deer,#item-ce13c55af,,Entry: Deer|Topic: Deer|Index: Deer|#item-ce13c55af,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,64,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/847,2573,2909,192/full/0/default.jpg"
alpha_65,Volume 1,448,,Defence,Defence,D,<a href='/New_Beehive/alpha4/alpha_607/'>Resistance</a>|<a href='/New_Beehive/alpha5/alpha_822/'>War</a>|<a href='/New_Beehive/alpha4/alpha_613/'>Revenge</a>|Xref:|739,,Defence,#item-7da8743c5,,Entry: Defence|Topic: Defence|Xref: Resistance|Xref: War|Xref: Revenge|Xref:|Xref: 739|Index: Defence|#item-7da8743c5,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,65,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/788,2760,2958,538/full/0/default.jpg"
alpha_66,Volume 1,448,,Degree,Degree,D,<a href='/New_Beehive/alpha4/alpha_560/'>Progress</a>|1377,,Degree,#item-b4234514f,,Entry: Degree|Topic: Degree|Xref: Progress|Xref: 1377|Index: Degree|#item-b4234514f,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,66,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/801,3742,2966,415/full/0/default.jpg"
alpha_67,Volume 1,448,,Delay,Delay,D,1123|891,,Delay,#item-17b3271a0,,Entry: Delay|Topic: Delay|Xref: 1123|Xref: 891|Index: Delay|#item-17b3271a0,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,67,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/785,4058,2974,430/full/0/default.jpg"
alpha_68,Volume 1,448,,Deliberation,Deliberation,D,Considerateness|<a href='/New_Beehive/alpha3/alpha_406/'>Meditation</a>,,Deliberation,#item-8049ac248,,Entry: Deliberation|Topic: Deliberation|Xref: Considerateness|Xref: Meditation|Index: Deliberation|#item-8049ac248,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,68,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/827,4430,2918,434/full/0/default.jpg"
alpha_69,Volume 1,448,,Fear of Death,Fear of Death,D,Self-murder|424,,Fear of Death,#item-802c3c09e,,Entry: Fear of Death|Topic: Fear of Death|Xref: Self-murder|Xref: 424|Index: Fear of Death|#item-802c3c09e,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/full/0/default.jpg,69,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0447/808,800,2968,487/full/0/default.jpg"
alpha_70,Volume 1,449,,Deluge,Deluge,D,,,Deluge,#item-a503485d3,,Entry: Deluge|Topic: Deluge|Xref: 1395|Index: Deluge|#item-a503485d3,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,70,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/326,197,3099,461/full/0/default.jpg"
alpha_71,Volume 1,449,,Demoniack,Demoniack,D,,,Demoniack,#item-f423d53cf,,Entry: Demoniack|Topic: Demoniack|Xref: 2147|Index: Demoniack|#item-f423d53cf,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,71,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/311,571,3081,364/full/0/default.jpg"
alpha_72,Volume 1,449,,Denial,Denial,D,<a href='/New_Beehive/alpha4/alpha_594/'>Refusal</a>|Selfdenial|Xref:1475,,Denial,#item-7347a1409,,Entry: Denial|Topic: Denial|Xref: Refusal|Xref: Selfdenial|Xref:1475|Index: Denial|#item-7347a1409,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,72,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/376,848,3051,532/full/0/default.jpg"
alpha_73,Volume 1,449,,Deposition,Deposition,D,,,Deposition,#item-8a9cd5a04,,Entry: Deposition|Topic: Deposition|Xref: 1816|Index: Deposition|#item-8a9cd5a04,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,73,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/395,1319,3024,264/full/0/default.jpg"
alpha_74,Volume 1,449,,Deprecation,Deprecation,D,,,Deprecation,#item-8855fe0e6,,Entry: Deprecation|Topic: Deprecation|Index: Deprecation|#item-8855fe0e6,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,74,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/391,1510,3034,299/full/0/default.jpg"
alpha_75,Volume 1,449,,Derision,Derision,D,Jest|<a href='/New_Beehive/alpha4/alpha_580/'>Railing</a>|<a href='/New_Beehive/alpha4/alpha_645/'>Scorn</a>|773,,Derision,#item-9232756fa,,Entry: Derision|Topic: Derision|Xref: Jest|Xref: Railing|Xref: Scorn|Xref: 773|Index: Derision|#item-9232756fa,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,75,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/389,1760,3026,385/full/0/default.jpg"
alpha_76,Volume 1,449,,Desertion,Desertion,D,<a href='/New_Beehive/alpha1/alpha_72/'>Denial</a>|1856,,Desertion,#item-26dd25431,,Entry: Desertion|Topic: Desertion|Xref: Denial|Xref: 1856|Index: Desertion|#item-26dd25431,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,76,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/374,2092,3067,366/full/0/default.jpg"
alpha_77,Volume 1,449,,Devil,Devil,D,,,Devil,#item-0d1928a70,,Entry: Devil|Topic: Devil|Xref: 747|Index: Devil|#item-0d1928a70,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,77,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/370,2440,3061,549/full/0/default.jpg"
alpha_78,Volume 1,449,,Devotion,Devotion,D,<a href='/New_Beehive/alpha4/alpha_525/'>Piety</a>|489|2223,,Devotion,#item-19bd7db90,,Entry: Devotion|Topic: Devotion|Xref: Piety|Xref: 489|Xref: 2223|Index: Devotion|#item-19bd7db90,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,78,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/374,2962,3022,399/full/0/default.jpg"
alpha_79,Volume 1,449,,Dew,Dew,D,,,Dew,#item-896e03c99,,Entry: Dew|Topic: Dew|Index: Dew|#item-896e03c99,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,79,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/405,3350,3022,244/full/0/default.jpg"
alpha_80,Volume 1,449,,Dice,Dice,D,<a href='/New_Beehive/alpha4/alpha_529/'>Play</a>,,Dice,#item-0c245cfc1,,Entry: Dice|Topic: Dice|Xref: Play|Index: Dice|#item-0c245cfc1,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,80,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/440,3631,2994,266/full/0/default.jpg"
alpha_81,Volume 1,449,,Diet,Diet,D,<a href='/New_Beehive/alpha5/alpha_747/'>Temperance</a>|<a href='/New_Beehive/alpha3/alpha_402/'>Meat</a>|359|4735,,Diet,#item-a44dc7143,,Entry: Diet|Topic: Diet|Xref: Temperance|Xref: Meat|Xref: 359|Xref: 4735|Index: Diet|#item-a44dc7143,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,81,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/399,3898,3049,587/full/0/default.jpg"
alpha_82,Volume 1,449,,Difference,Difference,D,<a href='/New_Beehive/alpha3/alpha_296/'>Inequality</a>|860,,Difference,#item-90a5b16f8,,Entry: Difference|Topic: Difference|Xref: Inequality|Xref: 860|Index: Difference|#item-90a5b16f8,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,82,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/408,4451,3037,324/full/0/default.jpg"
alpha_83,Volume 1,449,,Difficulty,Difficulty,D,<a href='/New_Beehive/alpha2/alpha_237/'>Heaviness</a>|100,,Difficulty,#item-284e23a0c,,Entry: Difficulty|Topic: Difficulty|Xref: Heaviness|Xref: 100|Index: Difficulty|#item-284e23a0c,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/full/0/default.jpg,83,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0448/389,4729,3016,239/full/0/default.jpg"
alpha_84,Volume 1,450,,Diligence,Diligence,D,<a href='/New_Beehive/alpha3/alpha_331/'>Labour</a>|924,,Diligence,#item-6419df951,,Entry: Diligence|Topic: Diligence|Xref: Labour|Xref: 924|Index: Diligence|#item-6419df951,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,84,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/834,226,2945,631/full/0/default.jpg"
alpha_85,Volume 1,450,,Dirt,Dirt,D,Tares|314,,Dirt,#item-6500f1f9d,,Entry: Dirt|Topic: Dirt|Xref: Tares|Xref: 314|Index: Dirt|#item-6500f1f9d,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,85,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/812,730,2936,357/full/0/default.jpg"
alpha_86,Volume 1,450,,Discipline,Discipline,D,Xref:|<a href='/New_Beehive/alpha4/alpha_604/'>Reproof</a>,,Discipline,#item-a12735979,,Entry: Discipline|Topic: Discipline|Xref:|Xref: Reproof|Index: Discipline|#item-a12735979,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,86,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/807,985,2972,520/full/0/default.jpg"
alpha_87,Volume 1,450,,Discontentment,Discontentment,D,Contentment|80,,Index:,#item-868c94771,,Entry: Discontentment|Topic: Discontentment|Xref: Contentment|Xref: 80|Index:|#item-868c94771,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,87,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/803,1466,2995,558/full/0/default.jpg"
alpha_88,Volume 1,450,,Discretion,Discretion,D,,,Discretion,#item-c8b7cc6c4,,Entry: Discretion|Topic: Discretion|Index: Discretion|#item-c8b7cc6c4,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,88,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/784,2773,2916,220/full/0/default.jpg"
alpha_89,Volume 1,450,,Discretness,Discretness,D,<a href='/New_Beehive/alpha3/alpha_423/'>Modesty</a>,,Discretness,#item-b1771a258,,Entry: Discretness|Topic: Discretness|Xref: Modesty|Index: Discretness|#item-b1771a258|,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,89,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/794,2585,2989,144/full/0/default.jpg"
alpha_90,Volume 1,450,,Disobedience,Disobedience,D,<a href='/New_Beehive/alpha4/alpha_498/'>Parents</a>|1898,,Disobedience,#item-ab66bd9fd,,Entry: Disobedience|Topic: Disobedience|Xref: Parents|Xref: 1898|Index: Disobedience|#item-ab66bd9fd,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,90,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/790,2918,2958,716/full/0/default.jpg"
alpha_91,Volume 1,450,,Disorder,Disorder,D,<a href='/New_Beehive/alpha4/alpha_486/'>Order</a>|929,,Disorder,#item-ec88b80d1,,Entry: Disorder|Topic: Disorder|Xref: Order|Xref: 929|Index: Disorder|#item-ec88b80d1,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,91,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/792,3538,2943,489/full/0/default.jpg"
alpha_92,Volume 1,450,,Disputation,Disputation,D,<a href='/New_Beehive/alpha4/alpha_726/'>Strife</a>|170,,Index:,#item-8b68258ba,,Entry: Disputation|Topic: Disputation|Xref: Strife|Xref: 170|Index: |#item-8b68258ba,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,92,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/794,3901,2937,649/full/0/default.jpg"
alpha_93,Volume 1,450,,Distrust,Distrust,D,<a href='/New_Beehive/alpha5/alpha_784/'>Trusting</a>|Suspition|Caution|Desperate|1842,,Distrust,#item-a95c35cba,,Entry: Distrust|Topic: Distrust|Xref: Trusting|Xref: Suspition|Xref: Caution|Xref: Desperate|Xref: 1842|Index: Distrust|#item-a95c35cba,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/full/0/default.jpg,93,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0449/790,4462,2974,565/full/0/default.jpg"
alpha_94,Volume 1,451,,Discharge,Discharge,D,,,Discharge,#item-980f3a073,,Entry: Discharge|Topic: Discharge|Xref: 1445|Index: Discharge|#item-980f3a073,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,94,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/390,1770,3014,176/full/0/default.jpg"
alpha_95,Volume 1,451,,Diversity,Diversity,D,<a href='/New_Beehive/alpha1/alpha_82/'>Difference</a>,,Diversity,#item-c1e8cd7f5,,Entry: Diversity|Topic: Diversity|Xref: Difference|Index: Diversity|#item-c1e8cd7f5,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,95,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/390,1436,2981,184/full/0/default.jpg"
alpha_96,Volume 1,451,,Division,Division,D,,,Division,#item-f01b54131,,Entry: Division|Topic: Division|Index: Division|#item-f01b54131,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,96,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/412,1173,3038,286/full/0/default.jpg"
alpha_97,Volume 1,451,,Divorcement,Divorcement,D,,,Divorcement,#item-2283b131d,,Entry: Divorcement|Topic: Divorcement|Xref: 1498|Index: Divorcement|#item-2283b131d,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,97,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/375,1583,2995,215/full/0/default.jpg"
alpha_98,Volume 1,451,,Doctor,Doctor,D,Master of the Arts|964,,Doctor,#item-34ac490a3,,Entry: Doctor|Topic: Doctor|Xref: Master of the Arts|Xref: 964|Index: Doctor|#item-34ac490a3,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,98,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/373,1888,3063,432/full/0/default.jpg"
alpha_99,Volume 1,451,,Doctrine,Doctrine,D,Catechism|<a href='/New_Beehive/alpha3/alpha_351/'>Learning</a>,,Doctrine,#item-664bc12ae,,Entry: Doctrine|Topic: Doctrine|Xref: Catechism|Xref: Learning|Index: Doctrine|#item-664bc12ae,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,99,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/420,2285,3022,567/full/0/default.jpg"
alpha_100,Volume 1,451,,Dog,Dog,D,Teach|2440|1338,,Dog,#item-b80ead891,,Entry: Dog|Topic: Dog|Xref: Teach|Xref: 2440|Xref: 1338|Index: Dog|#item-b80ead891,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,100,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/388,2856,3026,434/full/0/default.jpg"
alpha_101,Volume 1,451,,Dog-days,Dog-days,D,,,Dog-days,#item-7c551681e,,Entry: Dog-days|Topic: Dog-days|Index: Dog-days|#item-7c551681e,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,101,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/435,3240,2936,219/full/0/default.jpg"
alpha_102,Volume 1,451,,Dormouse,Dormouse,D,,,Dormouse,#item-53af5e652,,Entry: Dormouse|Topic: Dormouse|Index: Dormouse|#item-53af5e652,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,102,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/443,3433,1909,157/full/0/default.jpg"
alpha_103,Volume 1,451,,Doubt,Doubt,D,Perplexity|Pinch|Scepticsm|705,,Doubt,#item-5f6348a67,,Entry: Doubt|Topic: Doubt|Xref: Perplexity|Xref: Pinch|Xref: Scepticsm|Xref: 705|Index: Doubt|#item-5f6348a67,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,103,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/422,3620,3016,590/full/0/default.jpg"
alpha_104,Volume 1,451,,Dream,Dream,D,,,Dream,#item-7723640e4,,Entry: Dream|Topic: Dream|Xref: 1374|Index: Dream|#item-7723640e4,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,104,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/422,4149,2993,600/full/0/default.jpg"
alpha_105,Volume 1,451,,Drieness,Drieness,D,,,Index:,#item-edc1632ba,,Entry: Drieness|Topic: Drieness|Xref: 1526|Index: |#item-edc1632ba,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/full/0/default.jpg,105,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0450/422,4710,2969,297/full/0/default.jpg"
alpha_106,Volume 1,452,,Drink,Drink,D,Drinking of healths|Xref:775,,Drink,#item-6376317e7,,Entry: Drink|Topic: Drink|Xref: Drinking of healths|Xref:775|Index: Drink|#item-6376317e7,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,106,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/817,252,2910,440/full/0/default.jpg"
alpha_107,Volume 1,452,,Drunkeness,Drunkeness,D,,,Drunkeness,#item-18aa7dc9f,,Entry: Drunkeness|Topic: Drunkeness|Xref: 161|Index: Drunkeness|#item-18aa7dc9f,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,107,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/778,559,2971,663/full/0/default.jpg"
alpha_108,Volume 1,452,,Duck,Duck,D,,,Duck,#item-22ba711ad,,Entry: Duck|Topic: Duck|Index: Duck|#item-22ba711ad,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/full/0/default.jpg,108,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0451/759,1089,2985,232/full/0/default.jpg"
